,CA,SVM,D,MA,B,M,C,MHR,CANS,L,P,IncO,IncN,CamO,CamN,ConO,ConN,Confi,HyMS,AMIP,OTI,BYA,CostN,AE,AEOCN,NServ,Nteam,TieL,Ent,Mom,Tem,CulM,Cre,Mod,Bar,Obj,Inf,BenNube,MedBNube,ML,Cluster,Nombre Cluster
94,1c93a0dd2cd91920092b8269b2fed2873f8b4c325c91d6f9c2d2c5f554c03a9f,4.25,0.4985414721666667,43.5,0.0833333333333333,0.0,0.0833333333333333,10.1804629625,0.16666666666666666,17.332886625,6.93625707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.5,1.5,36.0,13.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.8396978006692015,1.6,2.0,Cluster Desafío en la Entrega
95,44a3c30e3cce4b6705b342f987a7a34ab825386f30fceec80e7cb010511de230,4.0,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,22.934349369999996,45.87142464000001,1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5,35.0,13.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.2961107378629178,1.4,1.5,Cluster Avance y rápida recuperación
96,58fe0831642e34025b19d8c0b9d35cda9051998d341b7beaa03c818feef4ce3c,4.5,0.5,0.0,0.25,0.0,0.0,106.40055555833332,0.25,7.543821904999999,31.64255972,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,37.5,9.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.3513727893805902,1.6,0.5,Cluster Transición en Progreso
97,422b09bba7c2bd53825ab29ef0c8c7a7492eb22a2e89943d8a358cd5516c2348,4.0,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,27.51596142,41.170134955,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,39.5,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.3069607516854176,1.6,-0.5,Cluster de adaptación
98,9df6459751d0b665bd5ef21f6d2b14775ce28273a52ac0e09fd7c7c38c4bec00,4.0,0.41165456208333334,172.66666666666666,0.0,0.0,0.0,5e-06,0.0,74.97638735,19.101363075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,38.5,18.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.149484870691208,1.6,1.5,Cluster Avance y rápida recuperación
99,3811ec3acbb9cb8a3b1b2dfcb3f2ea0a7a89e7c32ece91fde7d8c18c591cd88e,4.0,0.5,0.0,0.16666666666666666,0.0,0.0,13.823333332416667,0.16666666666666666,125.74913775,12.57179543,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,40.0,17.0,0.0,1.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,1.2303368927157834,1.4,1.0,Cluster Eficiencia en Entrega
100,4b67e506a5f62c58cf333a693a99f9baa629fb6b1009a02c4fdfa1b5786d2f0e,4.0,0.4997511574166666,10.75,0.16666666666666666,0.0,0.0,24.102847225,0.16666666666666666,99.6398887,6.068141829999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,38.0,6.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.4769119840428766,1.6,1.5,Cluster Avance y rápida recuperación
101,33eb26612d93e8d8a1dd4ec407d6e6971065b59047b470edfb2d7611338e5405,4.0,0.5,0.0,0.4166666666666667,0.0,0.0,36.01585648333333,0.4166666666666667,32.59007151,4.9903338005,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,40.5,17.0,0.0,1.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,1.7591821587754848,1.4,1.0,Cluster Eficiencia en Entrega
102,5b40f42f6ec01d0a80fe6e8dac5268081de27e17d1ebfd6482426552d3567c6d,3.75,0.5,0.0,0.0833333333333333,0.0,0.0,2.3743518516666664,0.0833333333333333,32.47756785,127.1411169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,-0.5,1.5,1.0,39.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.1384740662919708,1.4,2.0,Cluster Desafío en la Entrega
103,f77f3f5df8f004820588c9b523f17178574421f9401b10bc3e601f286a613ddc,4.0,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,62.40325415,25.450204419999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,37.0,16.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.1137855251831037,1.6,1.5,Cluster Avance y rápida recuperación
